,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0007178,GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,24/567,398/18614,0.001231211,0.027068824,0.022385436,FOS/IGSF1/TF/PCSK6/WWTR1/CCN1/SFRP4/SFRP2/EGR1/ACVR1C/JUN/INHBA/SMAD9/FSTL1/LTBP1/CAV1/BMPR1A/TWSG1/CD109/SKIL/SMAD5/PALS1/ID1/SPRY2,24
GO:0032570,GO:0032570,response to progesterone,6/567,40/18614,0.001236834,0.027068824,0.022385436,CD38/FOS/FOSB/MBP/SOX10/CAV1,6
GO:0003002,GO:0003002,regionalization,25/567,422/18614,0.001258664,0.027410216,0.022667761,FOXJ1/DNAH11/EGR2/PCSK6/PIFO/APLNR/DAAM2/FGF1/SFRP2/BTG2/AR/HHIP/VANGL2/TLL1/BMPR1A/PAX6/BHLHE41/NRP2/ARC/EDN1/FRS2/NRP1/HEY2/BMI1/SEMA3C,25
GO:0050922,GO:0050922,negative regulation of chemotaxis,8/567,70/18614,0.001266454,0.027443997,0.022695697,CCL2/DUSP1/SEMA3B/C5AR2/SEMA4A/SEMA5A/NRP1/SEMA3C,8
GO:0001935,GO:0001935,endothelial cell proliferation,15/567,201/18614,0.00130589,0.028157799,0.023285999,SPARC/CCL2/APLNR/APLN/SEMA5A/JUN/NR4A1/CAV1/EGR3/SCG2/NRP2/FLT1/IGF2/NRP1/PRKCA,15
GO:0032370,GO:0032370,positive regulation of lipid transport,9/567,87/18614,0.001316802,0.028157799,0.023285999,LIPG/NMB/SPP1/C1QTNF1/ABCA8/LDLRAP1/NFKBIA/CAV1/EDN1,9
GO:0070374,GO:0070374,positive regulation of ERK1 and ERK2 cascade,16/567,222/18614,0.001318597,0.028157799,0.023285999,CD44/ANGPT1/CCL2/CD36/FGF1/CCN2/CD74/ADRA1A/GLIPR2/JUN/INHBA/DDR2/PDGFC/NRP1/PRKCA/SPRY2,16
GO:0016049,GO:0016049,cell growth,28/567,495/18614,0.001327183,0.028204232,0.023324398,TNC/CD38/SGK1/SPP1/MAG/SGK2/SEMA3B/SFRP2/ADRA1A/HPN/SEMA4A/SEMA5A/GNG4/INHBA/HSPA1B/PLCE1/RND2/NTN1/NRP2/PLXNA4/EDN1/FN1/FHL1/PRKG1/NRP1/SERPINE2/NRN1/SEMA3C,28
GO:0022612,GO:0022612,gland morphogenesis,11/567,123/18614,0.001350043,0.028472321,0.023546103,TNC/FGF1/AR/HPN/CAV1/NTN1/PAX6/TWSG1/FRS2/NRP1/SEMA3C,11
GO:0035296,GO:0035296,regulation of tube diameter,12/567,142/18614,0.001361107,0.028472321,0.023546103,NTS/CD38/DOCK5/KCNA5/ADRA1A/CAV1/EDN1/PTGS2/GUCY1A1/PRKG1/ZDHHC21/PIK3C2A,12
GO:0097746,GO:0097746,blood vessel diameter maintenance,12/567,142/18614,0.001361107,0.028472321,0.023546103,NTS/CD38/DOCK5/KCNA5/ADRA1A/CAV1/EDN1/PTGS2/GUCY1A1/PRKG1/ZDHHC21/PIK3C2A,12
GO:1901342,GO:1901342,regulation of vasculature development,22/567,355/18614,0.0013715,0.028472321,0.023546103,AQP1/SERPINE1/SPARC/APLNR/ADAMTS9/C3AR1/HK2/FGF1/SFRP2/ANGPTL4/CTSH/THBS2/ITGAX/SEMA4A/SEMA5A/FLT1/GAB1/ADAMTS1/NRP1/PRKCA/ID1/SPRY2,22
GO:0031032,GO:0031032,actomyosin structure organization,15/567,202/18614,0.00137216,0.028472321,0.023546103,MYLK3/FLNC/ANLN/LDB3/RTKN/ELN/S100A10/CCN2/TTC8/CNN3/EDN1/CSRP2/NRP1/SDC4/EPB41L2,15
GO:0003208,GO:0003208,cardiac ventricle morphogenesis,8/567,71/18614,0.00138998,0.028677189,0.023715525,PPP1R13L/NPY2R/SFRP2/JAG1/BMPR1A/PKP2/HEY2/SEMA3C,8
GO:0010876,GO:0010876,lipid localization,28/567,497/18614,0.001408592,0.028677189,0.023715525,LIPG/NMB/SPP1/CD36/C1QTNF1/RBP7/ABCA8/LDLRAP1/SPX/GLTP/FABP5/NFKBIA/PLIN3/PIP4K2A/ACVR1C/INHBA/CAV1/LPL/ABCC4/LDLR/EDN1/PTGS2/STARD4/PMP2/ITGAV/APOLD1/RBP1/ATG2B,28
GO:0022011,GO:0022011,myelination in peripheral nervous system,5/567,28/18614,0.001416356,0.028677189,0.023715525,ITGB4/POU3F1/FA2H/PARD3/PALS1,5
GO:0032292,GO:0032292,peripheral nervous system axon ensheathment,5/567,28/18614,0.001416356,0.028677189,0.023715525,ITGB4/POU3F1/FA2H/PARD3/PALS1,5
GO:0048843,GO:0048843,negative regulation of axon extension involved in axon guidance,5/567,28/18614,0.001416356,0.028677189,0.023715525,SEMA3B/SEMA4A/SEMA5A/NRP1/SEMA3C,5
GO:0046849,GO:0046849,bone remodeling,9/567,88/18614,0.001428104,0.028677189,0.023715525,CD38/SPP1/TF/PDK4/DOCK5/IL20RA/LEPR/MITF/PRKCA,9
GO:0001763,GO:0001763,morphogenesis of a branching structure,15/567,203/18614,0.001441231,0.028677189,0.023715525,FGF1/ERMN/SFRP2/SOX10/AR/SOCS3/HHIP/CTSH/SOX8/CLIC4/EDN1/FRS2/NRP1/SPRY2/SEMA3C,15
GO:0010977,GO:0010977,negative regulation of neuron projection development,12/567,143/18614,0.001445763,0.028677189,0.023715525,CD38/SPP1/MAG/SEMA3B/MBP/SEMA4A/MYLIP/SEMA5A/NTN1/PAQR3/NRP1/SEMA3C,12
GO:0035150,GO:0035150,regulation of tube size,12/567,143/18614,0.001445763,0.028677189,0.023715525,NTS/CD38/DOCK5/KCNA5/ADRA1A/CAV1/EDN1/PTGS2/GUCY1A1/PRKG1/ZDHHC21/PIK3C2A,12
GO:0007596,GO:0007596,blood coagulation,16/567,224/18614,0.001447223,0.028677189,0.023715525,SERPINE1/ADAMTS18/F5/PDPN/CD36/C1QTNF1/CD9/ITGA2/ENTPD2/P2RY12/CAV1/IL6ST/EDN1/PRKG1/PRKCA/SERPINE2,16
GO:0006677,GO:0006677,glycosylceramide metabolic process,4/567,17/18614,0.001477789,0.028909204,0.023907397,FA2H/UGT8/GAL3ST1/ST6GALNAC3,4
GO:0051412,GO:0051412,response to corticosterone,4/567,17/18614,0.001477789,0.028909204,0.023907397,FOS/FOSB/MAOB/CCND1,4
GO:0009266,GO:0009266,response to temperature stimulus,14/567,183/18614,0.001478648,0.028909204,0.023907397,PIRT/FOS/PLIN1/GMPR/HSPA2/FGF1/NFKBIA/HSPA1B/VGF/DNAJB4/LPL/BAG3/PTGS2/TMEM135,14
GO:0035088,GO:0035088,establishment or maintenance of apical/basal cell polarity,7/567,56/18614,0.001491823,0.028909817,0.023907904,FOXJ1/PARD3/CLIC4/PARD3B/TTC8/ERBIN/PALS1,7
GO:0061245,GO:0061245,establishment or maintenance of bipolar cell polarity,7/567,56/18614,0.001491823,0.028909817,0.023907904,FOXJ1/PARD3/CLIC4/PARD3B/TTC8/ERBIN/PALS1,7
GO:0010975,GO:0010975,regulation of neuron projection development,26/567,452/18614,0.001540895,0.029729812,0.024586026,CD38/SPP1/KLK6/MAG/SEMA3B/SFRP2/MBP/PRRX1/KIF13B/SEMA4A/MYLIP/SEMA5A/DDR2/RND2/NTN1/PLXNA4/ARC/TMEM106B/FN1/TWF1/PAQR3/NRP1/SKIL/RAP2A/ID1/SEMA3C,26
GO:0006458,GO:0006458,'de novo' protein folding,6/567,42/18614,0.00160574,0.030711519,0.02539788,HSPA2/CD74/HSPA1B/DNAJB4/HSPH1/HSPA13,6
GO:0045124,GO:0045124,regulation of bone resorption,6/567,42/18614,0.00160574,0.030711519,0.02539788,CD38/SPP1/TF/PDK4/IL20RA/PRKCA,6
GO:0030516,GO:0030516,regulation of axon extension,9/567,90/18614,0.00167339,0.031866847,0.026353316,MAG/SEMA3B/SEMA4A/SEMA5A/NTN1/PLXNA4/FN1/NRP1/SEMA3C,9
GO:0001704,GO:0001704,formation of primary germ layer,11/567,127/18614,0.001748089,0.033145879,0.027411052,ITGB4/DUSP1/ITGA2/SFRP2/FZD7/INHBA/BMPR1A/TWSG1/FN1/ITGA7/ITGAV,11
GO:0050817,GO:0050817,coagulation,16/567,229/18614,0.001815736,0.034193309,0.028277258,SERPINE1/ADAMTS18/F5/PDPN/CD36/C1QTNF1/CD9/ITGA2/ENTPD2/P2RY12/CAV1/IL6ST/EDN1/PRKG1/PRKCA/SERPINE2,16
GO:0045687,GO:0045687,positive regulation of glial cell differentiation,6/567,43/18614,0.001818876,0.034193309,0.028277258,EGR2/NKX6-2/MAG/ZNF488/IL6ST/SERPINE2,6
GO:1901654,GO:1901654,response to ketone,15/567,208/18614,0.001831869,0.034266165,0.028337509,AQP1/CD38/FOS/F5/SGK1/SPP1/FOSB/MBP/SOX10/AR/CAV1/MAOB/EDN1/BMI1/CCND1,15
GO:0010632,GO:0010632,regulation of epithelial cell migration,19/567,295/18614,0.00183833,0.034266165,0.028337509,ANGPT1/SPARC/ADAMTS9/ITGA2/ENPP2/FGF1/DOCK5/CTSH/GLIPR2/SEMA4A/SEMA5A/JUN/NRP2/EDN1/PTGS2/NRP1/PRKCA/RIN2/PIK3C2A,19
GO:0010755,GO:0010755,regulation of plasminogen activation,4/567,18/18614,0.001854642,0.034279699,0.028348701,SERPINE1/S100A10/HPN/SERPINE2,4
GO:0048486,GO:0048486,parasympathetic nervous system development,4/567,18/18614,0.001854642,0.034279699,0.028348701,EGR2/NRP2/PLXNA4/NRP1,4
GO:0007599,GO:0007599,hemostasis,16/567,230/18614,0.001898152,0.034925885,0.028883085,SERPINE1/ADAMTS18/F5/PDPN/CD36/C1QTNF1/CD9/ITGA2/ENTPD2/P2RY12/CAV1/IL6ST/EDN1/PRKG1/PRKCA/SERPINE2,16
GO:0061138,GO:0061138,morphogenesis of a branching epithelium,14/567,188/18614,0.001905481,0.034925885,0.028883085,FGF1/SFRP2/SOX10/AR/SOCS3/HHIP/CTSH/SOX8/CLIC4/EDN1/FRS2/NRP1/SPRY2/SEMA3C,14
GO:2000027,GO:2000027,regulation of animal organ morphogenesis,11/567,129/18614,0.001980338,0.036058635,0.02981985,FGF1/SFRP2/AR/SOX8/FZD7/VANGL2/ANKRD6/BMPR1A/EDN1/FRS2/GPC4,11
GO:0048588,GO:0048588,developmental cell growth,16/567,231/18614,0.001983676,0.036058635,0.02981985,SPP1/MAG/SEMA3B/ADRA1A/SEMA4A/SEMA5A/RND2/NTN1/NRP2/PLXNA4/EDN1/FN1/PRKG1/NRP1/NRN1/SEMA3C,16
GO:0061448,GO:0061448,connective tissue development,18/567,275/18614,0.002009898,0.036384951,0.030089707,CD44/CHADL/SCIN/CCN1/SFRP2/EFEMP1/CCN2/PRRX1/EGR1/SOX8/BMPR1A/TWSG1/SOX6/EDN1/SNORC/SLC39A14/SMAD5/EVC,18
GO:0090317,GO:0090317,negative regulation of intracellular protein transport,6/567,44/18614,0.00205277,0.037008754,0.030605581,ANGPT1/CD36/BARD1/BAG3/PKIA/RAB23,6
GO:1903035,GO:1903035,negative regulation of response to wounding,9/567,93/18614,0.002103486,0.037651415,0.03113705,SERPINE1/ADAMTS18/SPP1/C1QTNF1/CD9/CD109/EDN1/PRKG1/SERPINE2,9
GO:0007266,GO:0007266,Rho protein signal transduction,11/567,130/18614,0.002105535,0.037651415,0.03113705,LPAR4/PDPN/RTKN/RHOU/RHOG/ADRA1A/NTN1/EPS8/ARHGAP5/ARHGEF28/NRP1,11
GO:1903034,GO:1903034,regulation of response to wounding,13/567,170/18614,0.002160429,0.038476632,0.03181949,SERPINE1/ADAMTS18/SPP1/CD36/C1QTNF1/CD9/DDR2/CAV1/MYLK/CD109/EDN1/PRKG1/SERPINE2,13
GO:0030308,GO:0030308,negative regulation of cell growth,14/567,191/18614,0.002207401,0.039154668,0.032380213,SPP1/MAG/SEMA3B/SFRP2/SEMA4A/SEMA5A/GNG4/INHBA/HSPA1B/NTN1/FHL1/NRP1/SERPINE2/SEMA3C,14
GO:0007229,GO:0007229,integrin-mediated signaling pathway,10/567,112/18614,0.002228213,0.039206929,0.032423433,ITGB4/ITGA2/CCN2/ITGAX/FN1/ITGA7/ITGAV/ADAMTS1/NRP1/ERBIN,10
GO:0010595,GO:0010595,positive regulation of endothelial cell migration,11/567,131/18614,0.002237086,0.039206929,0.032423433,ANGPT1/SPARC/FGF1/SEMA5A/NRP2/EDN1/PTGS2/NRP1/PRKCA/RIN2/PIK3C2A,11
GO:0030048,GO:0030048,actin filament-based movement,11/567,131/18614,0.002237086,0.039206929,0.032423433,KCNE5/PDPN/MYO1E/CTNNA3/KCNA5/SUN2/CAV1/PKP2/FRMD6/MYO5C/PARVA,11
GO:0014044,GO:0014044,Schwann cell development,5/567,31/18614,0.002271516,0.039340158,0.032533611,ITGB4/POU3F1/FA2H/PARD3/PALS1,5
GO:0035767,GO:0035767,endothelial cell chemotaxis,5/567,31/18614,0.002271516,0.039340158,0.032533611,FGF1/SEMA5A/NR4A1/EGR3/NRP1,5
GO:0045987,GO:0045987,positive regulation of smooth muscle contraction,5/567,31/18614,0.002271516,0.039340158,0.032533611,ITGA2/SPX/ADRA1A/EDN1/PTGS2,5
GO:0045834,GO:0045834,positive regulation of lipid metabolic process,12/567,151/18614,0.002292037,0.039539885,0.032698782,SLC45A3/CCN1/FGF1/LDLRAP1/CD74/P2RY12/CCDC3/LDLR/FLT1/PTGS2/STARD4/NR4A3,12
GO:0006909,GO:0006909,phagocytosis,16/567,236/18614,0.002461122,0.042290923,0.034973841,SRPX/SLC11A1/CCL2/PLPP4/CD36/ITGA2/PRKCG/COLEC12/C4A/LEPR/ARHGAP12/LDLR/YES1/ITGAV/PIKFYVE/CLCN3,16
GO:0045765,GO:0045765,regulation of angiogenesis,21/567,349/18614,0.002486169,0.042555086,0.035192299,AQP1/SERPINE1/SPARC/APLNR/ADAMTS9/C3AR1/HK2/FGF1/SFRP2/ANGPTL4/CTSH/THBS2/ITGAX/SEMA4A/SEMA5A/FLT1/GAB1/ADAMTS1/NRP1/PRKCA/SPRY2,21
GO:0001558,GO:0001558,regulation of cell growth,24/567,420/18614,0.002503601,0.04268736,0.035301687,TNC/CD38/SGK1/SPP1/MAG/SGK2/SEMA3B/SFRP2/HPN/SEMA4A/SEMA5A/GNG4/INHBA/HSPA1B/PLCE1/RND2/NTN1/PLXNA4/EDN1/FN1/FHL1/NRP1/SERPINE2/SEMA3C,24
GO:0061045,GO:0061045,negative regulation of wound healing,8/567,78/18614,0.002545855,0.043240216,0.035758889,SERPINE1/ADAMTS18/C1QTNF1/CD9/CD109/EDN1/PRKG1/SERPINE2,8
GO:0014911,GO:0014911,positive regulation of smooth muscle cell migration,6/567,46/18614,0.002587879,0.043617165,0.03607062,ITGA2/DOCK5/DDR2/ADAMTS1/NRP1/NR4A3,6
GO:0035272,GO:0035272,exocrine system development,6/567,46/18614,0.002587879,0.043617165,0.03607062,SOX10/PAX6/TWSG1/IGF2/NRP1/SEMA3C,6
GO:0032102,GO:0032102,negative regulation of response to external stimulus,25/567,446/18614,0.002654619,0.044571264,0.036859642,LTF/SERPINE1/ADAMTS18/CCL2/SPP1/DUSP1/C1QTNF1/CD9/SEMA3B/C5AR2/SPX/SOCS3/SEMA4A/TRIB1/SEMA5A/CALCRL/LDLR/YES1/CD109/EDN1/PRKG1/NRP1/ERBIN/SERPINE2/SEMA3C,25
GO:0031345,GO:0031345,negative regulation of cell projection organization,14/567,195/18614,0.002670467,0.044666867,0.036938704,CD38/SPP1/MAG/SEMA3B/MBP/SEMA4A/MYLIP/SEMA5A/NTN1/PAQR3/NRP1/ID1/SPRY2/SEMA3C,14
GO:0000768,GO:0000768,syncytium formation by plasma membrane fusion,7/567,62/18614,0.00270534,0.044908641,0.037138647,CD9/DOCK5/TANC1/JAM2/CD109/EHD2/PTGFRN,7
GO:0140253,GO:0140253,cell-cell fusion,7/567,62/18614,0.00270534,0.044908641,0.037138647,CD9/DOCK5/TANC1/JAM2/CD109/EHD2/PTGFRN,7
GO:0006869,GO:0006869,lipid transport,25/567,447/18614,0.002733818,0.045143655,0.037332999,LIPG/NMB/SPP1/CD36/C1QTNF1/RBP7/ABCA8/LDLRAP1/SPX/GLTP/FABP5/NFKBIA/PIP4K2A/INHBA/CAV1/ABCC4/LDLR/EDN1/PTGS2/STARD4/PMP2/ITGAV/APOLD1/RBP1/ATG2B,25
GO:0043542,GO:0043542,endothelial cell migration,18/567,283/18614,0.002740022,0.045143655,0.037332999,ANGPT1/SPARC/ADAMTS9/FGF1/SEMA4A/SEMA5A/FSTL1/NR4A1/EGR3/SCG2/NRP2/EDN1/PTGS2/NRP1/PRKCA/RIN2/ID1/PIK3C2A,18
GO:1903522,GO:1903522,regulation of blood circulation,17/567,261/18614,0.002782095,0.045665803,0.037764807,CD38/KCNE5/ADORA3/CTNNA3/DOCK5/CCN2/APLN/SPX/KCNA5/ADRA1A/CAV1/PKP2/EDN1/PTGS2/TMEM65/HEY2/ZDHHC21,17
GO:1902903,GO:1902903,regulation of supramolecular fiber organization,22/567,376/18614,0.002797535,0.04574853,0.03783322,MYLK3/KANK4/DAAM2/AEBP1/CHADL/SCIN/ELN/S100A10/CCN2/SEMA5A/HSPA1B/PLEKHH2/EPS8/LDLR/GMFB/TTC8/EDN1/TWF1/NRP1/SDC4/AP1AR/ID1,22
GO:0015908,GO:0015908,fatty acid transport,10/567,116/18614,0.002884102,0.046989492,0.038859474,NMB/CD36/RBP7/SPX/FABP5/ABCC4/EDN1/PTGS2/PMP2/RBP1,10
GO:0035904,GO:0035904,aorta development,7/567,63/18614,0.002965313,0.047957403,0.039659919,EGR2/APLNR/ADAMTS9/JAG1/BMPR1A/MYLK/HEY2,7
GO:0099601,GO:0099601,regulation of neurotransmitter receptor activity,7/567,63/18614,0.002965313,0.047957403,0.039659919,SLC6A9/CCL2/HOMER3/SHISA6/ARC/NPTXR/RASGRF2,7
GO:1990776,GO:1990776,response to angiotensin,5/567,33/18614,0.003018286,0.048635319,0.040220543,INHBA/DDR2/CAV1/PTGS2/AHCYL1,5
